property_name,property_type,link,sector,society,price,price_per_sqft,bedRoom,bathroom,balcony,additionalRoom,floorNum,agePossession,description,property_id,built_up_area,study room,servant room,store room,pooja room,others,furnishing_type
4 BHK Flat in Sector 54 Gurgaon,flat,https://www.99acres.com/4-bhk-bedroom-apartment-flat-for-sale-in-dlf-park-place-sector-54-gurgaon-2704-sq-ft-spid-W69249968,sector 54,dlf park place,6.75,24963.0,4.0,4.0,2,servant room,8.0,Moderately Old,4bhk with the servant room is available for sale in park place.,W69249968,2077.0,0.0,1.0,0.0,0.0,0.0,1.0
4 Bedroom House for sale in Arjun Nagar,house,https://www.99acres.com/4-bhk-bedroom-independent-house-villa-for-sale-in-arjun-nagar-gurgaon-802-sq-ft-spid-Y68833322,sector 8,independent,0.82,10224.0,2.0,4.0,0,not available,2.0,Moderately Old,"An independant 2 storey well maintained house in sector 8 gurgaonground and first floor having 2 room set with 2 washrooms, one store room, one kitchen proper ventilation n lobby for vehicle parking on second floor , one room n bathroom n open terrace is also there arjun nagar, gurgaon, haryana, india",Y68833322,891.0,0.0,0.0,0.0,0.0,0.0,0.0
3 BHK Flat in Sector 99A Gurgaon,flat,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-pareena-coban-residences-sector-99-a-gurgaon-2000-sq-ft-spid-K68565760,sector 99a,pareena coban residences,1.6,8000.0,3.0,3.0,3,not available,6.0,Under Construction,"We are the proud owners of this 3 bhk apartment available in pareena coban residences, sector 99a gurgaon, gurgaon. This it is a and the unit is located on 6th floor and has a super built-Up area of 2000 sq.Ft. . It has 3 bathroom(s) and 3 balcony(s). The ownership is freehold type.",K68565760,1812.0,0.0,0.0,0.0,0.0,0.0,0.0
4 BHK Flat in Sector 112 Gurgaon,flat,https://www.99acres.com/4-bhk-bedroom-apartment-flat-for-sale-in-experion-windchants-sector-112-gurgaon-4848-sq-ft-spid-O69129068,sector 112,experion windchants,5.2,10726.0,4.0,6.0,3+,"servant room,pooja room",15.0,Relatively New,"This 4 bhk apartment is available for sale in experion windchants, one of the most prominent projects for flats in sector 112 gurgaon. This property faces the north-East direction. The flat is over 4848 sq.Ft. Super built up area and comes with 4 bedroom(s), 6 bathrooms and more than 3 balconies. The property is located on the 15th floor of a 28 floors tall building. Being a ready to move project, you can expect immediate possession of this 1-5 years old property. The flat comes well built with vitrified flooring options. This residential property is situated near close to school. The flat will offer a modern lifestyle as it is presented with many of the amenities such as swimming pool, water softening plant, security personnel, maintenance staff, shopping centre, club house / community center, fitness centre / gym, park, lift(s) and visitor parking. Municipal corporation and borewell/tank provides a regular supply of water to this residential project.
 Additional details :Piped gas facility is available in the property.
The apartment has borings water supply.
Daily needs shopping could be done within the society premises to make the stay convinent.
Full power backup is available.
There is also a separate washroom for domestic help.
The society has dedicated security guards for every tower.",O69129068,3655.35,0.0,1.0,0.0,1.0,0.0,2.0
2 BHK Flat in Sector 37C Gurgaon,flat,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-proxima-tower-sector-37-c-gurgaon-1304-sq-ft-r9-spid-Q32382779,sector 37c,proxima tower,0.6,4601.0,2.0,2.0,3,"pooja room,study room",5.0,Under Construction,"Residential apartment for sell.Located on 5th  of the 18 floors located in sector-37c gurgaon. The property has 2 bedrooms, with 2 bathrooms .Available at an expected price of 60 lacit is a freehold property.The property comes with a good construction quality which ages,within 6 months .  95% payment is paid to the developer and families are residing in  3 towers out 7 towers.",Q32382779,1181.0,1.0,0.0,0.0,1.0,0.0,0.0
2 BHK Flat in Sector-33 Sohna,flat,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-godrej-nature-plus-sector-33-sohna-gurgaon-834-sq-ft-spid-T69959810,sector 33,godrej nature plus,1.2,14371.0,2.0,2.0,3,not available,1.0,New Property,2 bhk with private deck. Possession by july 2023,T69959810,86.0,0.0,0.0,0.0,0.0,0.0,0.0
4 Bedroom House for sale in Sector 48 Gurgaon,house,https://www.99acres.com/4-bhk-bedroom-independent-house-villa-for-sale-in-vipul-tatvam-villa-sector-48-gurgaon-3240-sq-ft-r6-spid-R61915240,sector 48,vipul tatvam villa,7.8,23145.0,4.0,4.0,3+,"pooja room,study room,servant room,store room",2.0,Relatively New,"Tatvam villas, spread over an area of 50 acres (Approx), is a part of 150 acres premium integrated township called vipul world on main sohna road, gurgaon. 254 exclusive villas designed to match the taste of the discerning few, these villas are modern & contemporary in design with all the features to facilitate comfortable living,",R61915240,3240.0,1.0,1.0,1.0,1.0,0.0,2.0
4 BHK Flat in Sector 109 Gurgaon,flat,https://www.99acres.com/4-bhk-bedroom-apartment-flat-for-sale-in-chintels-paradiso-sector-109-gurgaon-2630-sq-ft-r2-spid-C56670412,sector 109,chintels paradiso,2.0,7605.0,4.0,4.0,2,"pooja room,servant room",11.0,Relatively New,Residential apartment for sale in tower a .The property has 4 bedrooms with 4 bathrooms .It is a semi furnished property.Located in sector-109 gurgaon.Available at an expected price of rs. 2 crore. Located on 11th floor out of the 18 the property comes with a good construction quality which ages 1-5 years old property,C56670412,2382.0,0.0,1.0,0.0,1.0,0.0,0.0
3 BHK Flat in Sector 53 Gurgaon,flat,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-tulip-monsella-sector-53-gurgaon-2892-sq-ft-spid-W69383634,sector 53,tulip monsella,6.02,20816.0,3.0,3.0,3,not available,29.0,Under Construction,"Multistorey apartment is available for sale. It covered area of 2892 sq-Ft, it is a good location property. Please contact for more details. Tulip monsella sector 53",W69383634,2892.0,0.0,0.0,0.0,0.0,0.0,0.0
5 Bedroom House for sale in Sohna Road,house,https://www.99acres.com/5-bhk-bedroom-independent-house-villa-for-sale-in-sohna-road-gurgaon-725-sq-ft-r4-spid-N51256590,sector nearby sohna road,prem kunj,0.5,7407.0,2.0,4.0,3,pooja room,3.0,Relatively New,Seprated entry from road.Locked colony by gate.Greenry and mountain view.,N51256590,725.0,0.0,0.0,0.0,1.0,0.0,0.0
